"ID","address","kilometers","meters","miles","feet","nautical miles"
"1","1, 3149, Brush Creek Rd., Oklahoma City, Oklahoma, 73120",15.535880259647572,15535.88025964757,9.653548435706481,50970.735740530225,8.388704243870178
"2","2, 3124, N. May Ave., Oklahoma City, Oklahoma, 73112",6.613568961121448,6613.568961121448,4.109481228746236,21698.060887780124,3.5710415556811275
"3","3, 100, Northeast5th street, Oklahoma City, Oklahoma, 73104",1.346409540668017,1346.409540668017,0.8366201012050583,4417.354134362708,0.7270029917213914
"4","4, 5800, West Memorial Road, Oklahoma City, Oklahoma, 73142",18.075948044821782,18075.948044821784,11.23187338314098,59304.29146298438,9.760231125713705
"5","5, 2501, N. Blackwelder Ave, Oklahoma City, Oklahoma, 73106",4.17480394052453,4174.80394052453,2.5941029008900243,13696.863316699328,2.2542137907799837
"6","6, 900, North Portland Ave., Oklahoma City, Oklahoma, 73107",7.660680275666131,7660.680275666131,4.760126034421552,25133.465461745796,4.136436433944995
"7","7, 100, N University Drive, Edmond, Oklahoma, 73034",20.000037912425828,20000.03791242583,12.427447397689228,65616.92225979912,10.79915654018673
"8","8, 620, SW 19th St, Moore, Oklahoma, 73160",17.740263269477065,17740.263269477065,11.023288534148781,58202.96346030557,9.578975847449819
"9","9, 660, Parrington Oval, Norman, Oklahoma, 73019",30.344631085021184,30344.631085021185,18.85527958809987,99555.8762251673,16.38479000271122
"10","10, 4002, N 4th St, Enid, Oklahoma, 73701",111.29513396529329,111295.1339652933,69.15559005581397,365141.5154946978,60.09456477607629
"11","11, 717, E Highland st, Shawnee, Oklahoma, 74801",55.479328249438275,55479.32824943827,34.47325632571273,182018.79339976324,29.95644073943751
